date,freight_rate_usd_per_ton
2023-09-05,6.13
2023-09-06,6.34
2023-09-07,6.55
2023-09-08,6.63
2023-09-09,6.63
2023-09-10,6.63
2023-09-11,6.37
2023-09-12,6.59
2023-09-13,6.63
2023-09-14,6.83
2023-09-15,6.85
2023-09-16,6.85
2023-09-17,6.85
2023-09-18,7.09
2023-09-19,7.12
2023-09-20,6.83
2023-09-21,6.71
2023-09-22,6.91
2023-09-23,6.91
2023-09-24,6.91
2023-09-25,6.99
2023-09-26,6.92
2023-09-27,6.91
2023-09-28,6.71
2023-09-29,6.86
2023-09-30,6.86
2023-10-01,6.86
2023-10-02,7.04
2023-10-03,6.99
2023-10-04,6.94
2023-10-05,7.19
2023-10-06,7.39
2023-10-07,7.39
2023-10-08,7.39
2023-10-09,7.46
2023-10-10,7.09
2023-10-11,7.23
2023-10-12,7.0
2023-10-13,7.34
2023-10-14,7.34
2023-10-15,7.34
2023-10-16,7.26
2023-10-17,7.61
2023-10-18,7.29
2023-10-19,7.09
2023-10-20,7.2
2023-10-21,7.2
2023-10-22,7.2
2023-10-23,6.92
2023-10-24,6.76
2023-10-25,6.61
2023-10-26,6.47
2023-10-27,6.32
2023-10-28,6.32
2023-10-29,6.32
2023-10-30,6.18
2023-10-31,6.26
2023-11-01,6.0
2023-11-02,6.26
2023-11-03,6.44
2023-11-04,6.44
2023-11-05,6.44
2023-11-06,6.59
2023-11-07,6.5
2023-11-08,6.75
2023-11-09,7.25
2023-11-10,7.12
2023-11-11,7.12
2023-11-12,7.12
2023-11-13,7.44
2023-11-14,7.41
2023-11-15,7.69
2023-11-16,8.05
2023-11-17,8.03
2023-11-18,8.03
2023-11-19,8.03
2023-11-20,8.03
2023-11-21,8.19
2023-11-22,8.27
2023-11-23,8.27
2023-11-24,9.4
2023-11-25,9.4
2023-11-26,9.4
2023-11-27,9.71
2023-11-28,9.75
2023-11-29,10.89
2023-11-30,11.66
2023-12-01,12.55
2023-12-02,12.55
2023-12-03,12.55
2023-12-04,11.68
2023-12-05,10.38
2023-12-06,10.29
2023-12-07,10.43
2023-12-08,10.87
2023-12-09,10.87
2023-12-10,10.87
2023-12-11,10.75
2023-12-12,11.8
2023-12-13,11.09
2023-12-14,11.55
2023-12-15,12.4
2023-12-16,12.4
2023-12-17,12.4
2023-12-18,13.25
2023-12-19,12.22
2023-12-20,12.55
2023-12-21,12.46
2023-12-22,13.05
2023-12-23,13.05
2023-12-24,13.05
2023-12-25,13.05
2023-12-26,13.0
2023-12-27,13.59
2023-12-28,14.56
2023-12-29,14.45
2023-12-30,14.45
2023-12-31,14.45
2024-01-01,14.45
2024-01-02,13.27
2024-01-03,12.68
2024-01-04,13.62
2024-01-05,13.26
2024-01-06,13.26
2024-01-07,13.26
2024-01-08,12.01
2024-01-09,11.25
2024-01-10,11.94
2024-01-11,11.8
2024-01-12,11.88
2024-01-13,11.88
2024-01-14,11.88
2024-01-15,11.88
2024-01-16,12.21
2024-01-17,12.58
2024-01-18,13.99
2024-01-19,13.81
2024-01-20,13.81
2024-01-21,13.81
2024-01-22,13.04
2024-01-23,13.4
2024-01-24,14.69
2024-01-25,13.88
2024-01-26,13.83
2024-01-27,13.83
2024-01-28,13.83
2024-01-29,13.44
2024-01-30,13.72
2024-01-31,14.05
2024-02-01,13.89
