date,freight_rate_usd_per_ton
2023-01-01,18.06
2023-01-02,18.33
2023-01-03,19.08
2023-01-04,20.6
2023-01-05,18.48
2023-01-06,17.68
2023-01-07,15.83
2023-01-08,20.67
2023-01-09,18.04
2023-01-10,19.05
2023-01-11,20.74
2023-01-12,18.77
2023-01-13,18.3
2023-01-14,20.28
2023-01-15,19.18
2023-01-16,19.37
2023-01-17,16.88
2023-01-18,20.2
2023-01-19,19.25
2023-01-20,17.2
2023-01-21,19.47
2023-01-22,16.45
2023-01-23,21.78
2023-01-24,17.69
2023-01-25,20.99
2023-01-26,18.12
2023-01-27,19.81
2023-01-28,18.08
2023-01-29,20.41
2023-01-30,18.97
2023-01-31,19.86
2023-02-01,19.35
2023-02-02,17.73
2023-02-03,20.02
2023-02-04,18.85
2023-02-05,20.74
2023-02-06,19.24
2023-02-07,19.47
2023-02-08,21.62
2023-02-09,22.49
2023-02-10,20.61
2023-02-11,19.36
2023-02-12,19.29
2023-02-13,18.79
2023-02-14,19.06
2023-02-15,19.51
2023-02-16,22.23
2023-02-17,19.67
2023-02-18,18.46
2023-02-19,20.02
2023-02-20,20.21
2023-02-21,20.07
2023-02-22,21.01
2023-02-23,20.17
2023-02-24,21.03
2023-02-25,19.2
2023-02-26,22.3
2023-02-27,20.49
2023-02-28,20.7
2023-03-01,19.3
2023-03-02,20.83
2023-03-03,21.07
2023-03-04,18.91
2023-03-05,18.35
2023-03-06,20.71
2023-03-07,19.79
2023-03-08,20.71
2023-03-09,18.87
2023-03-10,18.57
2023-03-11,20.7
2023-03-12,20.05
2023-03-13,17.96
2023-03-14,27.71
2023-03-15,18.95
2023-03-16,23.63
2023-03-17,19.8
2023-03-18,21.05
2023-03-19,22.56
2023-03-20,22.37
2023-03-21,22.99
2023-03-22,18.79
2023-03-23,17.7
2023-03-24,20.9
2023-03-25,21.65
2023-03-26,20.64
2023-03-27,18.69
2023-03-28,21.26
2023-03-29,20.43
2023-03-30,20.42
2023-03-31,17.94
2023-04-01,21.64
2023-04-02,20.86
2023-04-03,22.84
2023-04-04,20.6
2023-04-05,21.36
2023-04-06,21.68
2023-04-07,18.59
2023-04-08,23.82
2023-04-09,20.16
2023-04-10,21.27
2023-04-11,21.44
2023-04-12,19.69
2023-04-13,22.88
2023-04-14,20.97
2023-04-15,20.39
2023-04-16,20.81
2023-04-17,21.55
2023-04-18,20.64
2023-04-19,21.67
2023-04-20,18.58
2023-04-21,19.69
2023-04-22,18.01
2023-04-23,22.96
2023-04-24,22.93
2023-04-25,21.29
2023-04-26,19.31
2023-04-27,23.38
2023-04-28,19.77
2023-04-29,20.22
2023-04-30,20.65
2023-05-01,20.98
2023-05-02,21.19
2023-05-03,21.22
2023-05-04,20.21
2023-05-05,21.16
2023-05-06,20.11
2023-05-07,21.01
2023-05-08,20.89
2023-05-09,21.19
2023-05-10,21.01
2023-05-11,19.69
2023-05-12,20.75
2023-05-13,20.96
2023-05-14,23.2
2023-05-15,19.79
2023-05-16,20.82
2023-05-17,22.12
2023-05-18,21.03
2023-05-19,22.14
2023-05-20,19.5
2023-05-21,20.25
2023-05-22,20.89
2023-05-23,17.1
2023-05-24,21.67
2023-05-25,17.59
2023-05-26,20.99
2023-05-27,20.59
2023-05-28,16.92
2023-05-29,15.88
2023-05-30,21.38
2023-05-31,21.08
2023-06-01,18.54
2023-06-02,18.5
2023-06-03,20.14
2023-06-04,19.47
2023-06-05,20.72
2023-06-06,19.99
2023-06-07,21.28
2023-06-08,20.5
2023-06-09,20.17
2023-06-10,18.84
2023-06-11,18.72
2023-06-12,19.13
2023-06-13,21.36
2023-06-14,18.62
2023-06-15,19.38
2023-06-16,16.34
2023-06-17,19.8
2023-06-18,21.66
2023-06-19,17.79
2023-06-20,22.68
2023-06-21,19.05
2023-06-22,15.71
2023-06-23,18.29
2023-06-24,20.31
2023-06-25,21.07
2023-06-26,19.49
2023-06-27,20.47
2023-06-28,17.14
2023-06-29,17.69
2023-06-30,16.45
2023-07-01,17.7
2023-07-02,19.3
2023-07-03,18.6
2023-07-04,19.34
2023-07-05,17.14
2023-07-06,17.17
2023-07-07,18.43
2023-07-08,17.42
2023-07-09,19.66
2023-07-10,17.31
2023-07-11,17.42
2023-07-12,18.48
2023-07-13,17.47
2023-07-14,16.41
2023-07-15,16.54
2023-07-16,18.46
2023-07-17,16.15
2023-07-18,19.41
2023-07-19,16.87
2023-07-20,18.4
2023-07-21,16.86
2023-07-22,16.48
2023-07-23,17.84
2023-07-24,18.77
2023-07-25,17.17
2023-07-26,17.35
2023-07-27,18.36
2023-07-28,18.36
2023-07-29,17.27
2023-07-30,16.75
2023-07-31,17.34
2023-08-01,16.98
2023-08-02,17.55
2023-08-03,15.7
2023-08-04,17.44
2023-08-05,16.21
2023-08-06,18.12
2023-08-07,16.19
2023-08-08,16.18
2023-08-09,17.47
2023-08-10,16.92
2023-08-11,19.6
2023-08-12,14.89
2023-08-13,16.94
2023-08-14,18.14
2023-08-15,16.06
2023-08-16,15.63
2023-08-17,15.65
2023-08-18,14.73
2023-08-19,18.26
2023-08-20,16.21
2023-08-21,16.04
2023-08-22,14.01
2023-08-23,14.81
2023-08-24,18.26
2023-08-25,16.85
2023-08-26,17.86
2023-08-27,17.68
2023-08-28,15.21
2023-08-29,19.31
2023-08-30,18.71
2023-08-31,15.67
2023-09-01,12.05
2023-09-02,15.88
2023-09-03,16.58
2023-09-04,15.59
2023-09-05,15.99
2023-09-06,15.24
2023-09-07,17.33
2023-09-08,16.28
2023-09-09,17.33
2023-09-10,17.64
2023-09-11,13.55
2023-09-12,15.23
2023-09-13,15.39
2023-09-14,19.21
2023-09-15,16.3
2023-09-16,17.08
2023-09-17,13.84
